TABLE CRVTime
#channel,timeOffset
1387,12.8699
1388,0
1389,12.8699
1390,0
1391,12.8699
1392,0
1393,12.8699
1394,0
1395,12.8699
1396,0
1397,12.8699
1398,0
1399,12.8699
1400,0
1401,12.8699
1402,0
1403,12.8699
1404,0
1405,12.8699
1406,0
1407,12.8699
1408,0
1409,12.4363
1410,0
1411,12.4363
1412,0
1413,12.4363
1414,0
1415,12.4363
1416,0
1417,12.4363
1418,0
1419,12.4363
1420,0
1421,12.4363
1422,0
1423,12.4363
1424,0
1425,12.4363
1426,0
1427,12.4363
1428,0
1429,12.4363
1430,0
1431,12.4363
1432,0
1433,12.4363
1434,0
1435,12.4363
1436,0
1437,12.4363
1438,0
1439,12.4363
1440,0
1441,12.6728
1442,0
1443,12.6728
1444,0
1445,12.6728
1446,0
1447,12.6728
1448,0
1449,12.6728
1450,0
1451,12.6728
1452,0
1453,12.6728
1454,0
1455,12.6728
1456,0
1457,12.6728
1458,0
1459,12.6728
1460,0
1461,12.6728
1462,0
1463,12.6728
1464,0
1465,12.6728
1466,0
1467,12.6728
1468,0
1469,12.6728
1470,0
1471,12.6728
1472,0
1473,11.2417
1474,0
1475,11.2417
1476,0
1477,11.2417
1478,0
1479,11.2417
1480,0
1481,11.2417
1482,0
1483,11.2417
1484,0
1485,11.2417
1486,0
1487,11.2417
1488,0
1489,11.2417
1490,0
1491,11.2417
1492,0
1493,11.2417
1494,0
1495,11.2417
1496,0
1497,11.2417
1498,0
1499,11.2417
1500,0
1501,11.2417
1502,0
1503,11.2417
1504,0
1505,10.939
1506,0
1507,10.939
1508,0
1509,10.939
1510,0
1511,10.939
1512,0
1513,10.939
1514,0
1515,10.939
1516,0
1517,10.939
1518,0
1519,10.939
1520,0
1521,10.939
1522,0
1523,10.939
1524,0
1525,10.939
1526,0
1527,10.939
1528,0
1529,10.939
1530,0
1531,10.939
1532,0
1533,10.939
1534,0
1535,10.939
1536,112
1537,24.0015
1538,112
1539,24.0015
1540,112
1541,24.0015
1542,112
1543,24.0015
1544,112
1545,24.0015
1546,112
1547,24.0015
1548,112
1549,24.0015
1550,112
1551,24.0015
1552,112
1553,24.0015
1554,112
1555,24.0015
1556,112
1557,24.0015
1558,112
1559,24.0015
1560,112
1561,24.0015
1562,112
1563,24.0015
1564,112
1565,24.0015
1566,112
1567,24.0015
1568,111.973
1569,26.0911
1570,111.973
1571,26.0911
1572,111.973
1573,26.0911
1574,111.973
1575,26.0911
1576,111.973
1577,26.0911
1578,111.973
1579,26.0911
1580,111.973
1581,26.0911
1582,111.973
1583,26.0911
1584,111.973
1585,26.0911
1586,111.973
1587,26.0911
1588,111.973
1589,26.0911
1590,111.973
1591,26.0911
1592,111.973
1593,26.0911
1594,111.973
1595,26.0911
1596,111.973
1597,26.0911
1598,111.973
1599,26.0911
1600,112.754
1601,25.793
1602,112.754
1603,25.793
1604,112.754
1605,25.793
1606,112.754
1607,25.793
1608,112.754
1609,25.793
1610,112.754
1611,25.793
1612,112.754
1613,25.793
1614,112.754
1615,25.793
1616,112.754
1617,25.793
1618,112.754
1619,25.793
1620,112.754
1621,25.793
1622,112.754
1623,25.793
1624,112.754
1625,25.793
1626,112.754
1627,25.793
1628,112.754
1629,25.793
1630,112.754
1631,25.793
1632,112.983
1633,26.768
1634,112.983
1635,26.768
1636,112.983
1637,26.768
1638,112.983
1639,26.768
1640,112.983
1641,26.768
1642,112.983
1643,26.768
1644,112.983
1645,26.768
1646,112.983
1647,26.768
1648,112.983
1649,26.768
1650,112.983
1651,26.768
1652,112.983
1653,26.768
1654,112.983
1655,26.768
1656,112.983
1657,26.768
1658,112.983
1659,26.768
1660,112.983
1661,26.768
1662,112.983
1663,26.768
1664,111.422
1665,25.0085
1666,111.422
1667,25.0085
1668,111.422
1669,25.0085
1670,111.422
1671,25.0085
1672,111.422
1673,25.0085
1674,111.422
1675,25.0085
1676,111.422
1677,25.0085
1678,111.422
1679,25.0085
1680,111.422
1681,25.0085
1682,111.422
1683,25.0085
1684,111.422
1685,25.0085
1686,111.422
1687,25.0085
1688,111.422
1689,25.0085
1690,111.422
1691,25.0085
1692,111.422
1693,25.0085
1694,111.422
