Channel	ROC	FEB	FEBchannel
591	1	10	39
592	1	8	40
593	1	10	40
594	1	8	41
595	1	10	41
596	1	8	42
597	1	10	42
598	1	8	43
599	1	10	43
600	1	8	44
601	1	10	44
602	1	8	45
603	1	10	45
604	1	8	46
605	1	10	46
606	1	8	47
607	1	10	47
608	1	8	48
609	1	10	48
610	1	8	49
611	1	10	49
612	1	8	50
613	1	10	50
614	1	8	51
615	1	10	51
616	1	8	52
617	1	10	52
618	1	8	53
619	1	10	53
620	1	8	54
621	1	10	54
622	1	8	55
623	1	10	55
624	1	8	56
625	1	10	56
626	1	8	57
627	1	10	57
628	1	8	58
629	1	10	58
630	1	8	59
631	1	10	59
632	1	8	60
633	1	10	60
634	1	8	61
635	1	10	61
636	1	8	62
637	1	10	62
638	1	8	63
639	1	10	63
640	1	9	0
641	1	11	0
642	1	9	1
643	1	11	1
644	1	9	2
645	1	11	2
646	1	9	3
647	1	11	3
648	1	9	4
649	1	11	4
650	1	9	5
651	1	11	5
652	1	9	6
653	1	11	6
654	1	9	7
655	1	11	7
656	1	9	8
657	1	11	8
658	1	9	9
659	1	11	9
660	1	9	10
661	1	11	10
662	1	9	11
663	1	11	11
664	1	9	12
665	1	11	12
666	1	9	13
667	1	11	13
668	1	9	14
669	1	11	14
670	1	9	15
671	1	11	15
672	1	9	16
673	1	11	16
674	1	9	17
675	1	11	17
676	1	9	18
677	1	11	18
678	1	9	19
679	1	11	19
680	1	9	20
681	1	11	20
682	1	9	21
683	1	11	21
684	1	9	22
685	1	11	22
686	1	9	23
687	1	11	23
688	1	9	24
689	1	11	24
690	1	9	25
691	1	11	25
692	1	9	26
693	1	11	26
694	1	9	27
695	1	11	27
696	1	9	28
697	1	11	28
698	1	9	29
699	1	11	29
700	1	9	30
701	1	11	30
702	1	9	31
703	1	11	31
704	1	9	32
705	1	11	32
706	1	9	33
707	1	11	33
708	1	9	34
709	1	11	34
710	1	9	35
711	1	11	35
712	1	9	36
713	1	11	36
714	1	9	37
715	1	11	37
716	1	9	38
717	1	11	38
718	1	9	39
719	1	11	39
720	1	9	40
721	1	11	40
722	1	9	41
723	1	11	41
724	1	9	42
725	1	11	42
726	1	9	43
727	1	11	43
728	1	9	44
729	1	11	44
730	1	9	45
731	1	11	45
732	1	9	46
733	1	11	46
734	1	9	47
735	1	11	47
736	1	9	48
737	1	11	48
738	1	9	49
739	1	11	49
740	1	9	50
741	1	11	50
742	1	9	51
743	1	11	51
744	1	9	52
745	1	11	52
746	1	9	53
747	1	11	53
748	1	9	54
749	1	11	54
750	1	9	55
751	1	11	55
752	1	9	56
753	1	11	56
754	1	9	57
755	1	11	57
756	1	9	58
757	1	11	58
758	1	9	59
759	1	11	59
760	1	9	60
761	1	11	60
762	1	9	61
763	1	11	61
764	1	9	62
765	1	11	62
766	1	9	63
767	1	11	63
768	1	12	0
769	1	14	0
770	1	12	1
771	1	14	1
772	1	12	2
773	1	14	2
774	1	12	3
775	1	14	3
776	1	12	4
777	1	14	4
778	1	12	5
779	1	14	5
780	1	12	6
781	1	14	6
782	1	12	7
783	1	14	7
784	1	12	8
785	1	14	8
786	1	12	9
787	1	14	9
788	1	12	10
789	1	14	10
790	1	12	11
791	1	14	11
792	1	12	12
793	1	14	12
794	1	12	13
795	1	14	13
796	1	12	14
797	1	14	14
798	1	12	15
799	1	14	15
800	1	12	16
801	1	14	16
802	1	12	17
803	1	14	17
804	1	12	18
805	1	14	18
806	1	12	19
807	1	14	19
808	1	12	20
809	1	14	20
810	1	12	21
811	1	14	21
812	1	12	22
813	1	14	22
814	1	12	23
815	1	14	23
816	1	12	24
817	1	14	24
818	1	12	25
819	1	14	25
820	1	12	26
821	1	14	26
822	1	12	27
823	1	14	27
824	1	12	28
825	1	14	28
826	1	12	29
827	1	14	29
828	1	12	30
829	1	14	30
830	1	12	31
831	1	14	31
832	1	12	32
833	1	14	32
834	1	12	33
835	1	14	33
836	1	12	34
837	1	14	34
838	1	12	35
839	1	14	35
840	1	12	36
841	1	14	36
842	1	12	37
843	1	14	37
844	1	12	38
845	1	14	38
846	1	12	39
847	1	14	39
848	1	12	40
849	1	14	40
850	1	12	41
851	1	14	41
852	1	12	42
853	1	14	42
854	1	12	43
855	1	14	43
856	1	12	44
857	1	14	44
858	1	12	45
859	1	14	45
860	1	12	46
861	1	14	46
862	1	12	47
863	1	14	47
864	1	12	48
865	1	14	48
866	1	12	49
867	1	14	49
868	1	12	50
869	1	14	50
870	1	12	51
871	1	14	51
872	1	12	52
873	1	14	52
874	1	12	53
875	1	14	53
876	1	12	54
877	1	14	54
878	1	12	55
879	1	14	55
880	1	12	56
881	1	14	56
882	1	12	57
883	1	14	57
884	1	12	58
885	1	14	58
886	1	12	59
887	1	14	59
888	1	12	60
889	1	14	60
890	1	12	61
891	1	14	61
892	1	12	62
893	1	14	62
894	1	12	63
895	1	14	63
896	1	13	0
897	1	15	0
898	1	13	1
899	1	15	1
900	1	13	2
901	1	15	2
902	1	13	3
903	1	15	3
904	1	13	4
905	1	15	4
906	1	13	5
907	1	15	5
908	1	13	6
909	1	15	6
910	1	13	7
911	1	15	7
912	1	13	8
913	1	15	8
914	1	13	9
915	1	15	9
916	1	13	10
917	1	15	10
918	1	13	11
919	1	15	11
920	1	13	12
921	1	15	12
922	1	13	13
923	1	15	13
924	1	13	14
925	1	15	14
926	1	13	15
927	1	15	15
928	1	13	16
929	1	15	16
930	1	13	17
931	1	15	17
932	1	13	18
933	1	15	18
934	1	13	19
935	1	15	19
936	1	13	20
937	1	15	20
938	1	13	21
939	1	15	21
940	1	13	22
941	1	15	22
942	1	13	23
943	1	15	23
944	1	13	24
945	1	15	24
946	1	13	25
947	1	15	25
948	1	13	26
949	1	15	26
950	1	13	27
951	1	15	27
952	1	13	28
953	1	15	28
954	1	13	29
955	1	15	29
956	1	13	30
957	1	15	30
958	1	13	31
959	1	15	31
960	1	13	32
961	1	15	32
962	1	13	33
963	1	15	33
964	1	13	34
965	1	15	34
966	1	13	35
967	1	15	35
968	1	13	36
969	1	15	36
970	1	13	37
971	1	15	37
972	1	13	38
973	1	15	38
974	1	13	39
975	1	15	39
976	1	13	40
977	1	15	40
978	1	13	41
979	1	15	41
980	1	13	42
981	1	15	42
982	1	13	43
983	1	15	43
984	1	13	44
985	1	15	44
986	1	13	45
987	1	15	45
988	1	13	46
989	1	15	46
990	1	13	47
991	1	15	47
992	1	13	48
993	1	15	48
994	1	13	49
995	1	15	49
996	1	13	50
997	1	15	50
998	1	13	51
999	1	15	51
1000	1	13	52
1001	1	15	52
1002	1	13	53
1003	1	15	53
1004	1	13	54
1005	1	15	54
1006	1	13	55
1007	1	15	55
1008	1	13	56
1009	1	15	56
1010	1	13	57
