TABLE CRVSiPM
#channel,pedestal,calibPulseHeight,calibPulseArea
274,2051.66,15.3974,451.32
275,2031.6,16.1049,452.835
276,2035.64,15.5314,431.987
277,2055.4,16.4316,449.395
278,2031.83,15.3241,420.333
279,2039.56,16.1475,437.111
280,2037.5,16.7688,506.03
281,2054.85,16.2948,463.083
282,2044.16,16.8236,513.46
283,2039.85,16.04,447.475
284,2033.25,15.4883,437.612
285,2047.56,16.284,451.33
286,2034.57,15.6975,439.601
287,2041.77,17.2571,470.529
288,2038.03,15.3555,435.812
289,2065.19,17.0079,496.687
290,2047.48,15.2715,436.764
291,2042.09,16.9373,489.682
292,2039.36,14.6641,414.006
293,2042.48,16.753,466.262
294,2061.59,15.0337,412.406
295,2045.05,16.4435,419.438
296,2040.93,15.6322,461.688
297,2058.77,17.4708,526.487
298,2056.68,15.6437,466.362
299,2041.74,16.7381,487.523
300,2045.96,15.3768,432.093
301,2045.81,17.4789,497.567
302,2041.78,15.5147,444.874
303,2046.96,16.9189,480.876
304,2047.35,18.9528,535.487
305,2038.31,13.6015,394.287
306,2035.52,18.4368,542.352
307,2025.48,13.4411,399.258
308,2031.85,18.6934,518.946
309,2056.99,13.3474,371.233
310,2058.14,18.0921,506.324
311,2048.56,13.4072,374.384
312,2048.05,18.8684,559.289
313,2038.5,14.1776,437.261
314,2045.29,18.5413,558.458
315,2044.8,14.2922,446.376
316,2052.2,18.3881,525.222
317,2042,13.6236,387.232
318,2048.54,18.9173,527.917
319,2040.28,14.9214,429.702
320,2035.62,17.1462,506.485
321,2055.72,16.436,469.613
322,2028.86,17.0836,498.166
323,2060.3,16.3799,467.563
324,2042.93,16.9949,481.88
325,2048.1,15.8597,432.107
326,2050.69,16.5025,472.423
327,2044.92,17.6519,474.38
328,2046.29,17.9198,544.944
329,2039.23,16.109,456.349
330,2051.09,17.6927,542.796
331,2044.62,16.7909,481.626
332,2048.79,16.8929,517.98
333,2047.65,15.7785,449.765
334,2046.42,17.1034,496.162
335,2051.1,17.0598,463.323
336,2044.38,16.3881,476.785
337,2038.13,16.4176,468.106
338,2047.71,16.7106,488.114
339,2047.99,15.1701,435.251
340,2044.86,16.1182,465.078
341,2034.26,15.8494,457.854
342,2046.15,16.2139,461.349
343,2046.84,15.2727,430.92
344,2041.87,16.5809,477.949
345,2041.21,14.9694,435.477
346,2050.5,16.3433,494.516
347,2065.98,14.988,437.437
348,2033.65,17.2266,486.309
349,2044.12,14.6068,419.706
350,2032.45,16.9037,481.293
351,2044.54,14.4561,419.995
352,2039.08,15.1698,436.432
353,2042.02,15.639,440.24
354,2054.94,15.9704,461.481
355,2051.31,15.4535,437.93
356,2040.93,15.3144,434.442
357,2035.78,16.0241,444.151
358,2035.6,15.97,454.585
359,2040.5,15.4827,425.778
360,2037.62,16.5673,517.462
361,2053.76,15.8463,456.991
362,2054.04,16.2934,524.445
363,2038,15.4347,438.663
364,2052.96,16.1282,474.915
365,2035.2,15.1661,430.994
366,2052.32,16.9237,509.974
367,2041.79,15.3827,430.82
368,2049.76,16.3822,477.56
369,2056.1,16.6985,477.099
370,2037.69,16.3613,505.767
371,2045.07,16.3655,466.356
372,2037.85,16.3197,471.704
373,2053.01,16.4472,459.689
374,2011.33,17.2857,496.368
375,2033.03,16.7971,459.054
376,2034.67,16.8124,481.935
377,2042.16,16.7566,477.341
378,2051.82,16.0494,461.25
379,2050.85,17.1715,479.894
380,2058.33,16.9754,475.913
381,2044.1,16.2134,459.285
382,2033.72,16.3843,472.651
383,2049.53,16.74,468.41
384,2050.14,16.1035,454.159
385,2050.76,16.0962,444.615
386,2055.21,15.6572,447.025
387,2035.04,16.4281,439.594
388,2052.82,15.7762,425.205
389,2053.56,15.7004,403.457
390,2065.81,15.3009,399.241
391,2053.87,15.9154,381.476
392,2049.65,16.6328,510.617
393,2040.5,16.5457,463.733
394,2060.59,16.9611,498.225
395,2050.51,16.6766,459.366
396,2027.28,15.2734,427.163
397,2041.12,17.3334,466.19
398,2045.23,15.7854,437.576
399,2045.11,16.6513,454.882
400,2038.43,18.7964,541.316
401,2061.13,19.4823,539.339
402,2055.41,19.8827,572.998
403,2043.49,19.8191,550.548
