Channel	ROC	FEB	FEBchannel
936	1	14	20
937	1	16	20
938	1	14	21
939	1	16	21
940	1	14	22
941	1	16	22
942	1	14	23
943	1	16	23
944	1	14	24
945	1	16	24
946	1	14	25
947	1	16	25
948	1	14	26
949	1	16	26
950	1	14	27
951	1	16	27
952	1	14	28
953	1	16	28
954	1	14	29
955	1	16	29
956	1	14	30
957	1	16	30
958	1	14	31
959	1	16	31
960	1	14	32
961	1	16	32
962	1	14	33
963	1	16	33
964	1	14	34
965	1	16	34
966	1	14	35
967	1	16	35
968	1	14	36
969	1	16	36
970	1	14	37
971	1	16	37
972	1	14	38
973	1	16	38
974	1	14	39
975	1	16	39
976	1	14	40
977	1	16	40
978	1	14	41
979	1	16	41
980	1	14	42
981	1	16	42
982	1	14	43
983	1	16	43
984	1	14	44
985	1	16	44
986	1	14	45
987	1	16	45
988	1	14	46
989	1	16	46
990	1	14	47
991	1	16	47
992	1	14	48
993	1	16	48
994	1	14	49
995	1	16	49
996	1	14	50
997	1	16	50
998	1	14	51
999	1	16	51
1000	1	14	52
1001	1	16	52
1002	1	14	53
1003	1	16	53
1004	1	14	54
1005	1	16	54
1006	1	14	55
1007	1	16	55
1008	1	14	56
1009	1	16	56
1010	1	14	57
1011	1	16	57
1012	1	14	58
1013	1	16	58
1014	1	14	59
1015	1	16	59
1016	1	14	60
1017	1	16	60
1018	1	14	61
1019	1	16	61
1020	1	14	62
1021	1	16	62
1022	1	14	63
1023	1	16	63
1024	1	17	0
1025	1	19	0
1026	1	17	1
1027	1	19	1
1028	1	17	2
1029	1	19	2
1030	1	17	3
1031	1	19	3
1032	1	17	4
1033	1	19	4
1034	1	17	5
1035	1	19	5
1036	1	17	6
1037	1	19	6
1038	1	17	7
1039	1	19	7
1040	1	17	8
1041	1	19	8
1042	1	17	9
1043	1	19	9
1044	1	17	10
1045	1	19	10
1046	1	17	11
1047	1	19	11
1048	1	17	12
1049	1	19	12
1050	1	17	13
1051	1	19	13
1052	1	17	14
1053	1	19	14
1054	1	17	15
1055	1	19	15
1056	1	17	16
1057	1	19	16
1058	1	17	17
1059	1	19	17
1060	1	17	18
1061	1	19	18
1062	1	17	19
1063	1	19	19
1064	1	17	20
1065	1	19	20
1066	1	17	21
1067	1	19	21
1068	1	17	22
1069	1	19	22
1070	1	17	23
1071	1	19	23
1072	1	17	24
1073	1	19	24
1074	1	17	25
1075	1	19	25
1076	1	17	26
1077	1	19	26
1078	1	17	27
1079	1	19	27
1080	1	17	28
1081	1	19	28
1082	1	17	29
1083	1	19	29
1084	1	17	30
1085	1	19	30
1086	1	17	31
1087	1	19	31
1088	1	17	32
1089	1	19	32
1090	1	17	33
1091	1	19	33
1092	1	17	34
1093	1	19	34
1094	1	17	35
1095	1	19	35
1096	1	17	36
1097	1	19	36
1098	1	17	37
1099	1	19	37
1100	1	17	38
1101	1	19	38
1102	1	17	39
1103	1	19	39
1104	1	17	40
1105	1	19	40
1106	1	17	41
1107	1	19	41
1108	1	17	42
1109	1	19	42
1110	1	17	43
1111	1	19	43
1112	1	17	44
1113	1	19	44
1114	1	17	45
1115	1	19	45
1116	1	17	46
1117	1	19	46
1118	1	17	47
1119	1	19	47
1120	1	17	48
1121	1	19	48
1122	1	17	49
1123	1	19	49
1124	1	17	50
1125	1	19	50
1126	1	17	51
1127	1	19	51
1128	1	17	52
1129	1	19	52
1130	1	17	53
1131	1	19	53
1132	1	17	54
1133	1	19	54
1134	1	17	55
1135	1	19	55
1136	1	17	56
1137	1	19	56
1138	1	17	57
1139	1	19	57
1140	1	17	58
1141	1	19	58
1142	1	17	59
1143	1	19	59
1144	1	17	60
1145	1	19	60
1146	1	17	61
1147	1	19	61
1148	1	17	62
1149	1	19	62
1150	1	17	63
1151	1	19	63
1152	1	18	0
1153	1	20	0
1154	1	18	1
1155	1	20	1
1156	1	18	2
1157	1	20	2
1158	1	18	3
1159	1	20	3
1160	1	18	4
1161	1	20	4
1162	1	18	5
1163	1	20	5
1164	1	18	6
1165	1	20	6
1166	1	18	7
1167	1	20	7
1168	1	18	8
1169	1	20	8
1170	1	18	9
1171	1	20	9
1172	1	18	10
1173	1	20	10
1174	1	18	11
1175	1	20	11
1176	1	18	12
1177	1	20	12
1178	1	18	13
1179	1	20	13
1180	1	18	14
1181	1	20	14
1182	1	18	15
1183	1	20	15
1184	1	18	16
1185	1	20	16
1186	1	18	17
1187	1	20	17
1188	1	18	18
1189	1	20	18
1190	1	18	19
1191	1	20	19
1192	1	18	20
1193	1	20	20
1194	1	18	21
1195	1	20	21
1196	1	18	22
1197	1	20	22
1198	1	18	23
1199	1	20	23
1200	1	18	24
1201	1	20	24
1202	1	18	25
1203	1	20	25
1204	1	18	26
1205	1	20	26
1206	1	18	27
1207	1	20	27
1208	1	18	28
1209	1	20	28
1210	1	18	29
1211	1	20	29
1212	1	18	30
1213	1	20	30
1214	1	18	31
1215	1	20	31
1216	1	18	32
1217	1	20	32
1218	1	18	33
1219	1	20	33
1220	1	18	34
1221	1	20	34
1222	1	18	35
1223	1	20	35
1224	1	18	36
1225	1	20	36
1226	1	18	37
1227	1	20	37
1228	1	18	38
1229	1	20	38
1230	1	18	39
1231	1	20	39
1232	1	18	40
1233	1	20	40
1234	1	18	41
1235	1	20	41
1236	1	18	42
1237	1	20	42
1238	1	18	43
1239	1	20	43
1240	1	18	44
1241	1	20	44
1242	1	18	45
1243	1	20	45
1244	1	18	46
1245	1	20	46
1246	1	18	47
1247	1	20	47
1248	1	18	48
1249	1	20	48
1250	1	18	49
1251	1	20	49
1252	1	18	50
1253	1	20	50
1254	1	18	51
1255	1	20	51
1256	1	18	52
1257	1	20	52
1258	1	18	53
1259	1	20	53
1260	1	18	54
1261	1	20	54
1262	1	18	55
1263	1	20	55
1264	1	18	56
1265	1	20	56
1266	1	18	57
1267	1	20	57
1268	1	18	58
1269	1	20	58
1270	1	18	59
1271	1	20	59
1272	1	18	60
1273	1	20	60
1274	1	18	61
1275	1	20	61
1276	1	18	62
1277	1	20	62
1278	1	18	63
1279	1	20	63
1280	1	21	0
1281	1	23	0
1282	1	21	1
1283	1	23	1
1284	1	21	2
1285	1	23	2
1286	1	21	3
1287	1	23	3
1288	1	21	4
1289	1	23	4
1290	1	21	5
1291	1	23	5
1292	1	21	6
1293	1	23	6
1294	1	21	7
1295	1	23	7
1296	1	21	8
1297	1	23	8
1298	1	21	9
1299	1	23	9
1300	1	21	10
1301	1	23	10
1302	1	21	11
1303	1	23	11
1304	1	21	12
1305	1	23	12
1306	1	21	13
1307	1	23	13
1308	1	21	14
1309	1	23	14
1310	1	21	15
1311	1	23	15
1312	1	21	16
1313	1	23	16
1314	1	21	17
1315	1	23	17
1316	1	21	18
1317	1	23	18
1318	1	21	19
1319	1	23	19
1320	1	21	20
1321	1	23	20
1322	1	21	21
1323	1	23	21
1324	1	21	22
1325	1	23	22
1326	1	21	23
1327	1	23	23
1328	1	21	24
1329	1	23	24
1330	1	21	25
1331	1	23	25
1332	1	21	26
1333	1	23	26
1334	1	21	27
1335	1	23	27
1336	1	21	28
1337	1	23	28
1338	1	21	29
1339	1	23	29
1340	1	21	30
1341	1	23	30
1342	1	21	31
1343	1	23	31
1344	1	21	32
1345	1	23	32
1346	1	21	33
1347	1	23	33
1348	1	21	34
1349	1	23	34
1350	1	21	35
1351	1	23	35
1352	1	21	36
1353	1	23	36
1354	1	21	37
1355	1	23	37
1356	1	21	38
1357	1	23	38
1358	1	21	39
1359	1	23	39
1360	1	21	40
1361	1	23	40
1362	1	21	41
1363	1	23	41
1364	1	21	42
1365	1	23	42
1366	1	21	43
1367	1	23	43
1368	1	21	44
1369	1	23	44
1370	1	21	45
1371	1	23	45
1372	1	21	46
1373	1	23	46
1374	1	21	47
1375	1	23	47
1376	1	21	48
1377	1	23	48
1378	1	21	49
1379	1	23	49
1380	1	21	50
1381	1	23	50
1382	1	21	51
1383	1	23	51
1384	1	21	52
1385	1	23	52
1386	1	21	53
1387	1	23	53
1388	1	21	54
1389	1	23	54
1390	1	21	55
1391	1	23	55
1392	1	21	56
1393	1	23	56
1394	1	21	57
1395	1	23	57
1396	1	21	58
1397	1	23	58
1398	1	21	59
1399	1	23	59
1400	1	21	60
1401	1	23	60
1402	1	21	61
1403	1	23	61
1404	1	21	62
1405	1	23	62
1406	1	21	63
1407	1	23	63
1408	1	22	0
1409	1	24	0
1410	1	22	1
1411	1	24	1
1412	1	22	2
1413	1	24	2
1414	1	22	3
1415	1	24	3
1416	1	22	4
1417	1	24	4
1418	1	22	5
1419	1	24	5
1420	1	22	6
1421	1	24	6
1422	1	22	7
1423	1	24	7
1424	1	22	8
1425	1	24	8
1426	1	22	9
1427	1	24	9
1428	1	22	10
1429	1	24	10
1430	1	22	11
1431	1	24	11
1432	1	22	12
1433	1	24	12
1434	1	22	13
1435	1	24	13
1436	1	22	14
1437	1	24	14
1438	1	22	15
1439	1	24	15
1440	1	22	16
1441	1	24	16
1442	1	22	17
1443	1	24	17
1444	1	22	18
1445	1	24	18
1446	1	22	19
1447	1	24	19
1448	1	22	20
1449	1	24	20
1450	1	22	21
1451	1	24	21
1452	1	22	22
1453	1	24	22
1454	1	22	23
1455	1	24	23
1456	1	22	24
1457	1	24	24
1458	1	22	25
1459	1	24	25
1460	1	22	26
1461	1	24	26
1462	1	22	27
1463	1	24	27
1464	1	22	28
1465	1	24	28
1466	1	22	29
1467	1	24	29
1468	1	22	30
1469	1	24	30
1470	1	22	31
1471	1	24	31
1472	1	22	32
1473	1	24	32
1474	1	22	33
1475	1	24	33
1476	1	22	34
1477	1	24	34
1478	1	22	35
1479	1	24	35
