y   x   disk   phi   crate   board   sensor   BoardIdx   MBconn   ConnIdx   BoardChan   FEEchan   xcry   ycry   cryID   rouID   offID   Type
6   13   0   0   0   3   0   6   1   3   1   121   -34.3   -411.6   45   0   90   CAL
6   14   0   1   0   3   0   46   5   4   18   938   0   -411.6   44   0   88   CAL
6   15   0   1   0   3   0   46   5   5   19   939   34.3   -411.6   43   0   86   CAL
6   16   0   1   0   2   0   44   5   3   17   897   68.6   -411.6   42   0   84   CAL
6   17   0   1   0   2   0   44   5   4   18   898   102.9   -411.6   41   0   82   CAL
6   18   0   1   0   2   0   44   5   5   19   899   137.2   -411.6   40   0   80   CAL
6   19   0   1   0   1   0   42   4   4   14   854   171.5   -411.6   39   0   78   CAL
6   20   0   1   0   1   0   42   4   5   15   855   205.8   -411.6   38   0   76   CAL
6   21   0   1   0   1   0   42   5   2   16   856   240.1   -411.6   98   0   196   CAL
6   22   0   1   0   0   0   40   3   2   8   808   274.4   -411.6   178   0   356   CAL
6   23   0   1   0   0   0   40   3   3   9   809   308.7   -411.6   264   0   528   CAL
6   24   0   1   0   0   0   40   3   4   10   810   343   -411.6   356   0   712   CAL
6   25   0   1   0   0   0   40   3   5   11   811   377.3   -411.6   450   0   900   CAL
6   26   0   1   1   3   0   54   1   4   2   1082   411.6   -411.6   538   0   1076   CAL
6   27   0   1   1   3   0   54   1   3   1   1081   445.9   -411.6   607   0   1214   CAL
6   28   0   1   1   3   0   54   1   2   0   1080   480.2   -411.6   655   0   1310   CAL
7   0   0   0   1   3   0   14   4   5   15   295   -497.4   -377.3   657   0   1314   CAL
7   1   0   0   1   3   0   14   4   4   14   294   -463   -377.3   613   0   1226   CAL
7   2   0   0   1   3   0   14   4   3   13   293   -428.8   -377.3   555   0   1110   CAL
7   3   0   0   1   3   0   14   4   2   12   292   -394.5   -377.3   474   0   948   CAL
7   4   0   0   1   3   0   14   3   5   11   291   -360.1   -377.3   381   0   762   CAL
7   5   0   0   0   0   0   0   2   2   4   4   -325.9   -377.3   286   0   572   CAL
7   6   0   0   0   0   0   0   2   3   5   5   -291.5   -377.3   197   0   394   CAL
7   7   0   0   0   0   0   0   2   4   6   6   -257.2   -377.3   114   0   228   CAL
7   8   0   0   0   1   0   2   1   3   1   41   -222.9   -377.3   51   0   102   CAL
7   9   0   0   0   1   0   2   1   4   2   42   -188.6   -377.3   13   0   26   CAL
7   10   0   0   0   1   0   2   1   5   3   43   -154.4   -377.3   12   0   24   CAL
7   11   0   0   0   1   0   2   2   2   4   44   -120.1   -377.3   11   0   22   CAL
7   12   0   1   0   1   0   42   5   3   17   857   120.1   -377.3   10   0   20   CAL
7   13   0   1   0   1   0   42   5   4   18   858   154.4   -377.3   9   0   18   CAL
7   14   0   1   0   1   0   42   5   5   19   859   188.6   -377.3   8   0   16   CAL
7   15   0   1   0   0   0   40   4   2   12   812   222.9   -377.3   37   0   74   CAL
7   16   0   1   0   0   0   40   4   3   13   813   257.2   -377.3   97   0   194   CAL
7   17   0   1   0   0   0   40   4   4   14   814   291.5   -377.3   177   0   354   CAL
7   18   0   1   0   0   0   40   4   5   15   815   325.9   -377.3   263   0   526   CAL
7   19   0   1   1   3   0   54   2   5   7   1087   360.1   -377.3   355   0   710   CAL
7   20   0   1   1   3   0   54   2   4   6   1086   394.5   -377.3   449   0   898   CAL
